Country;Health Expenditure;Under-five mortality rate;Life expectancy at birth;Health index;Expected Years of Schooling;Mean years of schooling;Education index;GDP per capita;GNI per capita;Income index;Loss due to inequality in life expectancy;Loss due to inequality in education;Loss due to inequality in income;Inequality-adjusted education index;Inequality-adjusted life expectancy index;Inequality-adjusted income index;Inequality-adjusted HDI value;Female male-ratio with at least secondary education;Adolescent fertility rate;Female-male ratio in Labour force;Gender Inequality Index;female-male ratio in parliament;Maternal mortality ratio;POLPRIS;TORT;DOMMOV;SPEECH;NEW_RELFRE;WORKER;WECON;HDI
Antigua and Barbuda;3,2;12;72,6;0,83;14;8,9;0,744;17052;15521;0,723;;;;;;;;;43,2;;;0,241;;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,764
Malaysia;1,9;6;74,2;0,855;12,6;9,5;0,73;12724;13685;0,704;6,7;;0;;0,798;;;0,907;8,4;0,561;0,286;0,163;31;POLPRIS0;TORT1;DOMMOV1;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,761
Trinidad and Tobago;2,7;35;70,1;0,791;12,3;9,2;0,712;23221;23439;0,782;16,6;6,6;21,9;0,665;0,659;0,61;0,644;1,016;28,6;0,705;0,331;0,377;55;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER0;WECON2;0,76
Kuwait;1,7;10;74,6;0,861;12,3;6,1;0,577;;47926;0,884;6,7;;;;0,803;;;1,189;14,8;0,55;0,229;0,083;9;POLPRIS1;TORT1;DOMMOV1;SPEECH0;NEW_RELFRE0;WORKER0;WECON0;0,76
Libyan Arab Jamahiriya;1,9;19;74,8;0,864;16,6;7,3;0,731;14985;12637;0,693;9,7;;;;0,781;;;1,264;2,1;0,313;0,314;0,083;64;POLPRIS0;TORT0;DOMMOV2;SPEECH0;NEW_RELFRE1;WORKER0;WECON2;0,76
Belarus;4,9;12;70,3;0,794;14,6;9,3;0,776;11841;13439;0,702;7,4;5,4;12,1;0,735;0,736;0,617;0,693;;17,4;0,824;;0,474;15;POLPRIS0;TORT0;DOMMOV1;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,756
Russian Federation;3,5;12;68,8;0,77;14,1;9,8;0,784;13611;14561;0,713;10,8;11,2;11,9;0,696;0,687;0,628;0,67;0,948;19,3;0,83;0,338;0,13;39;POLPRIS1;TORT0;DOMMOV0;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,755
Grenada;3,6;15;76;0,883;16;8,6;0,779;7593;6982;0,608;9,6;;;;0,798;;;;29,9;;;0,273;;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER2;WECON2;0,748
Kazakhstan;2,5;29;67;0,742;15,1;10,4;0,834;10452;10585;0,668;16,2;5,3;13,8;0,79;0,621;0,576;0,656;0,97;21,2;0,861;0,334;0,158;45;POLPRIS1;TORT0;DOMMOV1;SPEECH0;NEW_RELFRE1;WORKER0;WECON1;0,745
Costa Rica;5,9;11;79,3;0,936;11,7;8,3;0,659;10085;10497;0,667;7,8;17,7;33,7;0,543;0,863;0,442;0,591;1,03;58,7;0,565;0,361;0,629;44;POLPRIS2;TORT1;DOMMOV1;SPEECH1;NEW_RELFRE2;WORKER0;WECON2;0,744
Albania;2,9;15;76,9;0,898;11,3;10,4;0,721;7449;7803;0,624;11,2;11,9;18,3;0,635;0,797;0,51;0,637;0,932;12,4;0,7;0,271;0,197;31;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON0;0,739
Lebanon;3,9;12;72,6;0,83;13,8;7,9;0,695;11868;13076;0,698;13,5;24,1;30;0,528;0,718;0,489;0,57;;14,8;0,312;0,44;0,032;26;POLPRIS2;TORT0;DOMMOV1;SPEECH1;NEW_RELFRE0;WORKER0;WECON1;0,739
Saint Kitts and Nevis;3,4;15;73,1;0,838;12,9;8,4;0,693;13191;11897;0,684;;;;;;;;;24,8;;;0,071;;POLPRIS2;TORT2;DOMMOV2;SPEECH0;NEW_RELFRE2;WORKER1;WECON2;0,735
Venezuela (Bolivarian Republic of);2,7;18;74,4;0,858;14,2;7,6;0,692;11190;10656;0,669;12,2;18,1;44,9;0,567;0,753;0,368;0,54;1,13;84,9;0,644;0,447;0,204;68;POLPRIS1;TORT0;DOMMOV2;SPEECH0;NEW_RELFRE1;WORKER0;WECON2;0,735
Bosnia and Herzegovina;5,6;14;75,7;0,878;13,6;8,7;0,723;7266;7664;0,621;9,6;5,2;19,3;0,685;0,794;0,502;0,649;;11,2;0,805;;0,187;9;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE0;WORKER0;WECON1;0,733
Georgia;1,5;29;73,7;0,848;13,1;12,1;0,839;4335;4780;0,554;15,1;3,3;22,7;0,812;0,72;0,428;0,63;;35,3;0,746;0,418;0,07;48;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON0;0,733
Ukraine;4;15;68,5;0,765;14,7;11,3;0,858;5737;6175;0,591;10,5;6,1;10,9;0,806;0,684;0,526;0,662;0,952;21,3;0,796;0,335;0,087;26;POLPRIS1;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE0;WORKER0;WECON1;0,729
Mauritius;2;17;73,4;0,842;13,6;7,2;0,659;11658;12918;0,696;9,8;13,5;16,6;0,57;0,76;0,581;0,631;0,854;30,1;0,546;0,353;0,232;36;POLPRIS2;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON2;0,728
The former Yugoslav Republic of Macedonia;4,7;11;74,8;0,865;13,3;8,2;0,696;8741;8804;0,641;9,4;17,5;21,8;0,574;0,784;0,502;0,609;;14,1;0,659;0,151;0,481;9;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE0;WORKER1;WECON0;0,728
Jamaica;2,4;31;73,1;0,838;13,8;9,6;0,768;6931;6487;0,598;15,3;8,3;24,1;0,704;0,71;0,454;0,61;1,041;63,1;0,757;0,45;0,191;89;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON2;0,727
Peru;2,5;21;74;0,852;12,9;8,7;0,704;7836;8389;0,634;14,8;24;30;0,535;0,726;0,444;0,557;0,757;44;0,767;0,415;0,379;98;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER0;WECON1;0,725
Dominica;3,9;10;77,5;0,907;13,2;7,7;0,67;8066;7889;0,626;;;;;;;;;18;;;0,143;;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON1;0,724
Saint Lucia;3,4;20;74,6;0,862;13,1;8,3;0,693;8722;8273;0,632;10,4;;;;0,773;;;;51;0,673;;0,261;;POLPRIS2;TORT0;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON1;0,723
Ecuador;2,3;24;75,6;0,877;14;7,6;0,686;7508;7589;0,62;14,1;22,1;38,8;0,535;0,753;0,379;0,535;0,965;78,2;0,606;0,469;0,476;140;POLPRIS1;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER0;WECON1;0,72
Brazil;3,5;21;73,5;0,844;13,8;7,2;0,663;9414;10162;0,662;14,4;25,7;40,7;0,492;0,723;0,392;0,519;1,054;76;0,734;0,449;0,106;58;POLPRIS2;TORT0;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER0;WECON2;0,718
Saint Vincent and the Grenadines;3,3;12;72,3;0,825;13,2;8,6;0,712;8312;8013;0,628;14;;;;0,71;;;;50;0,711;;0,167;;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON2;0,717
Armenia;2,1;22;74,2;0,856;12;10,8;0,76;4794;5188;0,566;14,9;6,5;10,8;0,71;0,728;0,504;0,639;0,993;30,7;0,799;0,343;0,101;29;POLPRIS0;TORT0;DOMMOV1;SPEECH0;NEW_RELFRE1;WORKER0;WECON1;0,716
Colombia;5,1;19;73,7;0,847;13,6;7,3;0,667;8136;8315;0,633;13,7;22,8;53,9;0,515;0,731;0,292;0,479;1,009;63;0,524;0,482;0,16;85;POLPRIS0;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER0;WECON1;0,71
Iran (Islamic Republic of);3;31;73;0,836;12,7;7,3;0,64;10496;10164;0,662;16,1;;;;0,701;;;0,682;21,4;0,437;0,485;0,028;30;POLPRIS0;TORT0;DOMMOV1;SPEECH0;NEW_RELFRE0;WORKER0;WECON0;0,707
Oman;1,9;12;73;0,836;11,8;5,5;0,539;;22841;0,778;7,2;;;;0,776;;;;9,5;0,33;0,309;0,099;20;POLPRIS1;TORT2;DOMMOV2;SPEECH0;NEW_RELFRE0;WORKER1;WECON1;0,705
Tonga;3,1;19;72,3;0,825;13,7;10,3;0,79;4055;4186;0,535;13,8;;;;0,712;;;0,956;14,5;0,731;;0,037;;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,704
Azerbaijan;1;34;70,7;0,8;11,8;8,6;0,671;8752;8666;0,639;20,6;8,3;4,5;0,615;0,636;0,61;0,62;;28,9;0,891;0,314;0,19;38;POLPRIS0;TORT0;DOMMOV1;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,7
Turkey;3,4;20;74;0,851;11,8;6,5;0,583;11209;12246;0,689;12,8;27,4;26,5;0,423;0,742;0,506;0,542;0,58;22,8;0,344;0,443;0,1;23;POLPRIS0;TORT0;DOMMOV1;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,699
Belize;2,6;18;76,1;0,884;12,4;8;0,663;6019;5812;0,582;12,2;;;;0,776;;;1,073;64,5;0,588;0,493;0,125;94;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON2;0,699
Tunisia;3;21;74,5;0,86;14,5;6,5;0,645;7512;7281;0,614;12,6;38,7;21,8;0,396;0,751;0,48;0,523;0,698;3,2;0,362;0,293;;60;POLPRIS0;TORT0;DOMMOV1;SPEECH0;NEW_RELFRE0;WORKER1;WECON1;0,698
Jordan;5,4;25;73,4;0,842;13,1;8,6;0,71;5082;5300;0,569;13,1;22,4;21,1;0,551;0,732;0,449;0,565;0,769;21,7;0,315;0,456;0,139;59;POLPRIS0;TORT0;DOMMOV2;SPEECH0;NEW_RELFRE0;WORKER1;WECON0;0,698
Algeria;3,6;32;73,1;0,838;13,6;7;0,652;7421;7658;0,621;14,5;;;;0,716;;;0,736;5,2;0,467;0,412;0,076;120;POLPRIS1;TORT1;DOMMOV1;SPEECH0;NEW_RELFRE0;WORKER0;WECON2;0,698
Sri Lanka;2;15;74,9;0,867;12,7;8,2;0,68;4333;4943;0,559;9,4;17,9;20,8;0,558;0,785;0,442;0,579;0,973;20,7;0,456;0,419;0,056;39;POLPRIS1;TORT0;DOMMOV0;SPEECH0;NEW_RELFRE1;WORKER0;WECON1;0,691
Dominican Republic;1,9;32;73,4;0,842;11,9;7,2;0,616;7658;8087;0,629;16;26,8;33,8;0,451;0,707;0,417;0,51;1,188;98,9;0,633;0,48;0,236;100;POLPRIS2;TORT0;DOMMOV1;SPEECH1;NEW_RELFRE1;WORKER0;WECON1;0,689
Samoa;4,2;25;72,4;0,827;12,3;10,3;0,75;4000;3931;0,526;13,4;;;;0,717;;;;23,1;0,503;;0,043;;POLPRIS2;TORT2;DOMMOV1;SPEECH1;NEW_RELFRE2;WORKER1;WECON2;0,688
Fiji;2,8;18;69,2;0,777;13;10,7;0,786;4110;4145;0,533;13;;;;0,676;;;0,977;40,6;0,494;;;26;POLPRIS1;TORT1;DOMMOV2;SPEECH0;NEW_RELFRE2;WORKER1;WECON2;0,688
China;1,9;19;73,5;0,843;11,6;7,5;0,623;6200;7476;0,618;13,5;23,2;29,5;0,478;0,73;0,436;0,534;0,778;9,8;0,845;0,209;0,271;38;POLPRIS0;TORT0;DOMMOV0;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,687
Turkmenistan;1,4;45;65;0,71;12,5;9,9;0,739;6576;7306;0,615;26,7;;;;0,52;;;;14,6;0,844;;0,202;77;POLPRIS0;TORT0;DOMMOV0;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,686
Thailand;2,7;14;74,1;0,854;12,3;6,6;0,597;7260;7694;0,622;10,1;18;34;0,49;0,768;0,411;0,537;0,759;31,6;0,811;0,382;0,162;48;POLPRIS1;TORT1;DOMMOV2;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,682
Suriname;3,6;26;70,6;0,798;12,6;7,2;0,636;;7538;0,619;15;20,1;34,9;0,508;0,678;0,403;0,518;;31;0,583;;0,109;100;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,68
El Salvador;3,6;17;72,2;0,823;12,1;7,5;0,637;6020;5925;0,585;15,2;32,4;31,1;0,431;0,698;0,403;0,495;0,853;71;0,599;0,487;0,235;110;POLPRIS2;TORT0;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER0;WECON1;0,674
Gabon;3;69;62,7;0,674;13,1;7,5;0,66;13094;12249;0,689;27,8;7,3;22,1;0,612;0,486;0,536;0,543;1,553;73;0,864;0,509;0,191;260;POLPRIS1;TORT1;DOMMOV0;SPEECH0;NEW_RELFRE1;WORKER1;WECON1;0,674
Paraguay;2,4;23;72,5;0,828;12,1;7,7;0,643;4107;4727;0,552;17,8;19,8;33,4;0,515;0,68;0,368;0,505;0,9;62;0,658;0,476;0,157;95;POLPRIS2;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON1;0,665
Bolivia (Plurinational State of);3,4;51;66,6;0,735;13,7;9,2;0,749;4013;4054;0,53;25,1;27,6;47,2;0,542;0,55;0,28;0,437;0,812;71,4;0,757;0,476;0,431;180;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER0;WECON1;0,663
Maldives;6,4;13;76,8;0,897;12,4;5,8;0,568;4972;5276;0,568;7,3;41,2;23,2;0,334;0,832;0,436;0,495;0,838;8,7;0,742;0,32;0,069;37;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE0;WORKER0;WECON2;0,661
Mongolia;3,5;29;68,5;0,765;14,1;8,3;0,722;3198;3391;0,505;18,8;5,8;16,4;0,68;0,622;0,422;0,563;1,015;16,7;0,867;0,41;0,041;65;POLPRIS1;TORT0;DOMMOV2;SPEECH0;NEW_RELFRE0;WORKER1;WECON2;0,653
Moldova (Republic of);5,2;17;69,3;0,778;11,9;9,7;0,716;2592;3058;0,49;11,2;6,1;18,9;0,673;0,691;0,397;0,569;0,929;25,4;0,875;0,298;0,232;32;POLPRIS1;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE0;WORKER0;WECON1;0,649
Philippines;1,3;33;68,7;0,769;11,9;8,9;0,684;3216;3478;0,508;15,2;13,5;30;0,592;0,652;0,356;0,516;1,035;44,8;0,627;0,427;0,273;94;POLPRIS0;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,644
Egypt;2,4;21;73,2;0,84;11;6,4;0,56;5151;5269;0,568;13,9;40,9;14,2;0,331;0,723;0,487;0,489;0,732;35,7;0,297;;;82;POLPRIS0;TORT0;DOMMOV2;SPEECH0;NEW_RELFRE0;WORKER1;WECON1;0,644
Uzbekistan;2,3;36;68,3;0,762;11,4;10;0,711;2611;2967;0,486;24,3;1,4;17,9;0,701;0,577;0,399;0,544;;11,9;0,822;;0,238;30;POLPRIS0;TORT0;DOMMOV0;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,641
Micronesia (Federated States of);12,6;39;69;0,773;12,1;8,8;0,689;2804;2935;0,484;19,2;22,4;63,1;0,534;0,624;0,179;0,39;;12,6;;;0,001;;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON1;0,636
Guyana;7,2;35;69,9;0,787;11,9;8;0,65;2942;3192;0,496;21,7;11,7;32,1;0,574;0,616;0,337;0,492;0,975;46,4;0,551;0,511;0,429;270;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,633
Botswana;4,3;57;53,2;0,523;12,2;8,9;0,693;12154;13049;0,698;24,3;;;;0,396;;;0,949;37,2;0,893;0,507;0,086;190;POLPRIS2;TORT1;DOMMOV1;SPEECH0;NEW_RELFRE2;WORKER0;WECON2;0,633
Syrian Arab Republic;1,6;16;75,9;0,881;11,3;5,7;0,534;4295;4243;0,537;10;31,5;18,3;0,366;0,793;0,439;0,503;1,025;31,7;0,265;0,474;0,142;46;POLPRIS0;TORT0;DOMMOV1;SPEECH0;NEW_RELFRE0;WORKER0;WECON0;0,632
Namibia;3,2;48;62,5;0,67;11,6;7,4;0,617;5821;6206;0,591;21,1;27,8;68,3;0,445;0,528;0,187;0,353;1,075;38,3;0,828;0,466;0,333;180;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,625
Honduras;4,1;30;73,1;0,838;11,4;6,5;0,574;3488;3443;0,507;17,4;31,8;43,4;0,392;0,693;0,287;0,427;0,878;79,9;0,499;0,511;0,219;110;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER0;WECON1;0,625
Kiribati;16,1;46;68,1;0,759;12,1;7,8;0,647;2209;3140;0,494;;;;;;;;;11,4;;;0,045;;POLPRIS2;TORT2;DOMMOV1;SPEECH2;NEW_RELFRE2;WORKER1;WECON1;0,624
South Africa;3,6;62;52,8;0,517;13,1;8,5;0,705;9333;9469;0,652;28,4;20,8;;0,558;0,37;;;0,976;42,9;0,74;0,49;0,746;410;POLPRIS0;TORT0;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON1;0,619
Indonesia;1,2;39;69,4;0,779;13,2;5,8;0,584;3813;3716;0,518;16,8;20,4;17,7;0,465;0,648;0,426;0,504;0,778;40;0,605;0,505;0,22;240;POLPRIS0;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE0;WORKER0;WECON1;0,617
Vanuatu;2,7;16;71;0,805;10,4;6,7;0,554;4030;3950;0,527;15,6;;;;0,679;;;;47,6;0,898;;0,04;;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE1;WORKER2;WECON1;0,617
Kyrgyzstan;3,5;37;67,7;0,753;12,5;9,3;0,716;2073;2036;0,432;19,8;11,1;12,2;0,637;0,604;0,379;0,526;0,997;32,1;0,692;0,37;0,304;81;POLPRIS1;TORT1;DOMMOV1;SPEECH0;NEW_RELFRE1;WORKER1;WECON1;0,615
Tajikistan;1,1;61;67,5;0,75;11,4;9,8;0,704;1791;1937;0,425;27,2;9,4;15,3;0,638;0,546;0,36;0,5;1,086;23,6;0,734;0,347;0,213;64;POLPRIS1;TORT0;DOMMOV2;SPEECH0;NEW_RELFRE1;WORKER0;WECON1;0,607
Viet Nam;2,8;24;75,2;0,87;10,4;5,5;0,503;2682;2805;0,478;13,4;17,1;11,4;0,417;0,754;0,423;0,51;0,884;19,3;0,894;0,305;0,301;56;POLPRIS0;TORT0;DOMMOV0;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,593
Nicaragua;4,5;26;74;0,852;10,8;5,8;0,525;2398;2430;0,457;13,9;33,3;33,6;0,35;0,734;0,303;0,427;0,689;98,5;0,601;0,506;0,26;100;POLPRIS1;TORT1;DOMMOV2;SPEECH0;NEW_RELFRE2;WORKER0;WECON1;0,589
Morocco;1,7;38;72,2;0,823;10,3;4,4;0,447;4081;4196;0,535;16,7;45,8;23;0,242;0,685;0,412;0,409;0,553;7,3;0,327;0,51;0,072;110;POLPRIS0;TORT0;DOMMOV2;SPEECH0;NEW_RELFRE1;WORKER1;WECON1;0,582
Guatemala;2,1;40;71,2;0,807;10,6;4,1;0,438;4286;4167;0,534;18,6;36,1;38,5;0,28;0,657;0,329;0,393;0,742;97,6;0,547;0,542;0,137;110;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER0;WECON1;0,574
Iraq;1,9;44;69;0,774;9,8;5,6;0,491;3222;3177;0,495;20,3;;;;0,617;;;0,515;75,3;0,2;0,579;0,337;75;POLPRIS0;TORT0;DOMMOV1;SPEECH0;NEW_RELFRE0;WORKER0;WECON0;0,573
Cape Verde;3,4;28;74,2;0,854;11,6;3,5;0,425;3309;3402;0,505;12,7;30,7;;0,295;0,746;;;;60,8;0,658;;0,263;94;POLPRIS2;TORT1;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON1;0,568
India;1,1;66;65,4;0,717;10,3;4,4;0,45;2993;3468;0,508;27,1;40,6;14,7;0,267;0,522;0,433;0,392;0,528;65,6;0,404;0,617;0,119;230;POLPRIS0;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON1;0,547
Ghana;4,3;69;64,2;0,698;10,5;7,1;0,574;1410;1584;0,396;27,5;40,9;27,2;0,339;0,506;0,288;0,367;0,408;54;0,981;0,598;0,09;350;POLPRIS2;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON1;0,541
Equatorial Guinea;1,7;145;51,1;0,49;7,7;5,4;0,427;28857;17608;0,741;45,4;29,2;;0,303;0,268;;;;104,5;0,432;;0,111;280;POLPRIS0;TORT0;DOMMOV0;SPEECH1;NEW_RELFRE2;WORKER0;WECON2;0,537
Congo;1,7;128;57,4;0,59;10,5;5,9;0,523;3848;3066;0,49;37;25,4;30,3;0,39;0,371;0,342;0,367;0,899;105,2;0,762;0,628;0,101;580;POLPRIS1;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,533
Lao People's Democratic Republic;0,8;59;67,5;0,749;9,2;4,6;0,432;2048;2242;0,445;21,7;30,5;15,5;0,3;0,586;0,376;0,405;0,622;24;0,985;0,513;0,337;580;POLPRIS0;TORT1;DOMMOV2;SPEECH0;NEW_RELFRE0;WORKER0;WECON3;0,524
Cambodia;1,7;88;63,1;0,68;9,8;5,8;0,502;1739;1848;0,418;28,8;31,1;21,4;0,346;0,484;0,328;0,38;0,563;26,6;0,859;0,5;0,235;290;POLPRIS1;TORT0;DOMMOV2;SPEECH0;NEW_RELFRE1;WORKER0;WECON1;0,523
Swaziland;3,8;73;48,7;0,453;10,6;7,1;0,578;4539;4484;0,545;35;29,8;40,9;0,406;0,295;0,322;0,338;1,083;55,3;0,709;0,546;0,28;420;POLPRIS1;TORT0;DOMMOV1;SPEECH0;NEW_RELFRE1;WORKER0;WECON0;0,522
Bhutan;3,3;79;67,2;0,744;11;2,3;0,336;4643;5293;0,568;24,1;44,8;;0,185;0,565;;;;41,6;0,757;0,495;0,161;200;POLPRIS0;TORT1;DOMMOV1;SPEECH1;NEW_RELFRE1;WORKER0;WECON3;0,522
Solomon Islands;4,3;36;67,9;0,755;9,1;4,5;0,427;2312;1782;0,413;20,7;;;;0,599;;;;59,5;0,484;;0,001;100;POLPRIS2;TORT2;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON0;0,51
Kenya;2;84;57,1;0,586;11;7;0,582;1428;1492;0,387;34,1;30,7;36;0,403;0,386;0,248;0,338;0,521;93,7;0,867;0,627;0,109;530;POLPRIS1;TORT0;DOMMOV0;SPEECH1;NEW_RELFRE1;WORKER1;WECON1;0,509
Sao Tome and Principe;5,3;78;64,7;0,705;10,8;4,2;0,452;1653;1792;0,413;28,8;19,1;44,2;0,365;0,502;0,231;0,348;;46,4;0,585;;0,222;;POLPRIS2;TORT2;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,509
Pakistan;0,8;87;65,4;0,717;6,9;4,9;0,386;2369;2550;0,464;32,3;46,4;11;0,207;0,485;0,413;0,346;0,502;25,2;0,256;0,573;0,266;260;POLPRIS0;TORT0;DOMMOV0;SPEECH0;NEW_RELFRE0;WORKER0;WECON0;0,504
Bangladesh;1,1;52;68,9;0,772;8,1;4,8;0,415;1286;1529;0,391;23,2;39,4;17,7;0,252;0,593;0,321;0,363;0,784;59,7;0,711;0,55;0,228;340;POLPRIS0;TORT0;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER0;WECON1;0,5
Timor-Leste;11,5;56;62,5;0,67;11,2;2,8;0,371;731;3005;0,487;30,2;47,4;17,8;0,195;0,468;0,401;0,332;;40,3;0,712;;0,413;370;POLPRIS2;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON1;0,495
Angola;2;161;51,1;0,49;9,1;4,4;0,422;5278;4874;0,557;46,1;;50;;0,264;0,278;;;127,4;0,842;;0,63;610;POLPRIS1;TORT0;DOMMOV0;SPEECH0;NEW_RELFRE1;WORKER1;WECON0;0,486
Cameroon;1,3;154;51,6;0,499;10,3;5,9;0,52;2002;2031;0,431;43;35,3;19,9;0,336;0,284;0,345;0,321;0,605;103,8;0,662;0,639;0,161;600;POLPRIS1;TORT0;DOMMOV0;SPEECH0;NEW_RELFRE1;WORKER0;WECON0;0,482
Madagascar;2,7;58;66,7;0,737;10,7;5,2;0,497;912;824;0,302;25,6;30,1;36,1;0,347;0,548;0,193;0,332;;112,1;0,949;;0,138;440;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE1;WORKER1;WECON1;0,48
Tanzania (United Republic of);3,5;108;58,2;0,603;9,1;5,1;0,454;1237;1328;0,37;32,4;32,8;20,6;0,305;0,407;0,294;0,332;0,606;125,5;0,953;0,59;0,563;790;POLPRIS1;TORT0;DOMMOV1;SPEECH1;NEW_RELFRE1;WORKER0;WECON0;0,466
Papua New Guinea;2,6;68;62,8;0,675;5,8;4,3;0,335;2072;2271;0,447;25,2;;;;0,505;;;0,508;57,6;0,965;0,674;0,009;250;POLPRIS2;TORT0;DOMMOV2;SPEECH2;NEW_RELFRE2;WORKER1;WECON1;0,466
Yemen;1,5;66;65,5;0,718;8,6;2,5;0,31;2243;2213;0,444;25,1;49,8;17,6;0,155;0,537;0,365;0,312;0,311;56,3;0,271;0,769;0,007;210;POLPRIS0;TORT0;DOMMOV1;SPEECH0;NEW_RELFRE0;WORKER0;WECON0;0,462
Senegal;3,2;93;59,3;0,62;7,5;4,5;0,385;1650;1708;0,406;30,7;45,1;23,9;0,211;0,43;0,309;0,304;0,563;76,1;0,732;0,566;0,42;410;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER1;WECON0;0,459
Nigeria;1,7;138;51,9;0,503;8,9;5;0,442;2001;2069;0,434;43,8;44,2;28,8;0,247;0,283;0,309;0,278;;103,4;0,534;;0,079;840;POLPRIS0;TORT0;DOMMOV1;SPEECH1;NEW_RELFRE1;WORKER1;WECON0;0,459
Nepal;2;48;68,8;0,77;8,8;3,2;0,356;1049;1160;0,351;19,5;43,6;37,4;0,201;0,62;0,22;0,301;0,448;73,5;0,788;0,558;0,496;380;POLPRIS0;TORT0;DOMMOV2;SPEECH0;NEW_RELFRE0;WORKER0;WECON1;0,458
Haiti;1,2;87;62,1;0,664;7,6;4,9;0,406;1045;1123;0,346;30,9;40,7;47,9;0,241;0,459;0,18;0,271;0,619;37,2;0,694;0,599;0,043;300;POLPRIS1;TORT1;DOMMOV2;SPEECH1;NEW_RELFRE2;WORKER0;WECON1;0,454
Mauritania;1,6;117;58,6;0,609;8,1;3,7;0,366;1751;1859;0,419;36,2;43,2;21,5;0,208;0,389;0,329;0,298;0,385;62,3;0,728;0,605;0,238;550;POLPRIS1;TORT0;DOMMOV0;SPEECH1;NEW_RELFRE0;WORKER1;WECON2;0,453
